Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-11-26T17:45:23.014926Z,XPEV,BUY - MARKET,194.1407494,$51.51 ,"$10,000 ",USD,1.1295
2021-11-26T17:46:58.371932Z,LCID,BUY - MARKET,158.5219727,$52.11 ,"$8,260 ",USD,1.1295
2021-11-29T15:07:53.953502Z,XPEV,SELL - MARKET,194.1407494,$53.45 ,"$10,376.94 ",USD,1.1272
2021-11-29T17:18:42.770746Z,LCID,SELL - MARKET,158.5219727,$53.57 ,"$8,492.12 ",USD,1.1266
2021-11-29T19:49:03.105883Z,XPEV,BUY - MARKET,196.1692821,$50.98 ,"$10,000 ",USD,1.1275
2021-11-29T19:57:08.618411Z,RIVN,BUY - MARKET,74.081803,$119.80 ,"$8,875 ",USD,1.1277
2021-11-30T14:49:52.839392Z,XPEV,SELL - MARKET,196.1692821,$53.61 ,"$10,516.77 ",USD,1.1379
2021-11-30T14:52:39.887265Z,LI,SELL - MARKET,1180.156714,$36.16 ,"$42,675.29 ",USD,1.1383
2021-11-30T17:26:53.509974Z,XPEV,BUY - MARKET,189.3975379,$52.80 ,"$10,000 ",USD,1.1295
2021-11-30T17:27:06.271580Z,LI,BUY - MARKET,291.2140361,$34.34 ,"$10,000 ",USD,1.1295
2021-11-30T20:15:04.002826Z,DELL,BUY - MARKET,178.3517032,$56.07 ,"$10,000 ",USD,1.133
2021-11-30T20:15:46.161618Z,LCID,BUY - MARKET,187.9734962,$53.20 ,"$10,000 ",USD,1.133
2021-11-30T20:17:18.193007Z,MTTR,BUY - MARKET,306.3820466,$32.64 ,"$10,000 ",USD,1.1333
2021-11-30T20:18:17.664571Z,AMZN,BUY - MARKET,0.91077541,"$3,502.51 ","$3,190 ",USD,1.1333
2021-12-01T15:08:55.422966Z,MTTR,SELL - MARKET,306.3820466,$37.06 ,"$11,354.73 ",USD,1.1358
2021-12-01T15:58:57.728363Z,LCID,SELL - MARKET,187.9734962,$55.33 ,"$10,400.69 ",USD,1.1337
2021-12-01T15:59:16.942015Z,LI,SELL - MARKET,291.2140361,$36.48 ,"$10,623.70 ",USD,1.1337
2021-12-01T19:08:39.584501Z,MTTR,BUY - MARKET,311.5361371,$32.10 ,"$10,000 ",USD,1.1326
2021-12-01T19:09:02.657922Z,XPEV,BUY - MARKET,190.2985728,$52.55 ,"$10,000 ",USD,1.1326
2021-12-01T19:46:45.914170Z,LCID,BUY - MARKET,187.4801275,$53.34 ,"$10,000 ",USD,1.132
2021-12-01T20:31:52.360843Z,LI,BUY - MARKET,67.48142897,$35.27 ,"$2,380 ",USD,1.1316
2021-12-02T03:51:19.566410Z,,CUSTODY FEE,,,($15.89),USD,1.1334
2021-12-02T15:38:40.023213Z,,CASH TOP-UP,,,$12.40 ,USD,1.1328
2021-12-03T15:01:24.316201Z,DELL,SELL - MARKET,406.3457044,$57.92 ,"$23,535.78 ",USD,1.1288
2021-12-09T08:12:20.703080Z,V,DIVIDEND,,,$15.23 ,USD,1.1328
2021-12-14T15:03:00.590423Z,V,SELL - MARKET,47.78768039,$212.04 ,"$10,132.89 ",USD,1.1302
2021-12-15T14:30:49.547790Z,NIO,BUY - MARKET,319.8864363,$31.26 ,"$10,000 ",USD,1.1258
2021-12-15T15:26:25.774251Z,NIO,BUY - MARKET,326.0622758,$30.67 ,"$10,000 ",USD,1.1263
2021-12-15T15:56:45.283780Z,XPEV,BUY - MARKET,240.1018007,$41.65 ,"$10,000 ",USD,1.1254
2021-12-15T15:57:46.147593Z,LI,BUY - MARKET,123.7015126,$29.75 ,"$3,680 ",USD,1.1252
2021-12-29T05:35:03.717735Z,NKE,DIVIDEND,,,$14.88 ,USD,1.1309
2021-12-30T17:33:09.749467Z,XPEV,SELL - MARKET,619.7979114,$49 ,"$30,370.50 ",USD,1.1316
2022-01-03T14:53:04.559587Z,XPEV,BUY - MARKET,204.9221311,$48.80 ,"$10,000 ",USD,1.1316
2022-01-03T14:56:24.299890Z,MSFT,BUY - MARKET,30.23349256,$330.76 ,"$10,000 ",USD,1.1314
2022-01-03T15:00:17.563741Z,META,BUY - MARKET,29.56227274,$338.27 ,"$10,000 ",USD,1.1309
2022-01-03T15:10:47.797086Z,LI,BUY - MARKET,11.77230483,$32.28 ,$380 ,USD,1.1311
2022-01-04T08:52:44.265084Z,,CUSTODY FEE,,,($11.46),USD,1.1297
2022-01-04T11:21:06.181079Z,,CASH TOP-UP,,,$2.18 ,USD,1.1288
2022-01-18T14:56:01.451092Z,ATVI,SELL - MARKET,7.59506329,$84.50 ,$641.77 ,USD,1.1371
2022-02-02T10:38:56.342890Z,,CUSTODY FEE,,,($11.35),USD,1.1315
2022-03-02T04:37:47.303445Z,,CUSTODY FEE,,,($10.64),USD,1.1125
